             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
           1883959     short 4a84eb03  jjg9482 PD       0:00      1 (Dependency)
           1883958     short 4a84eb03  jjg9482 PD       0:00      1 (Dependency)
           1883956     short 4a84eb03  jjg9482 PD       0:00      1 (Dependency)
           1883955     short 4a84eb03  jjg9482 PD       0:00      1 (Dependency)
           1883954     short 4a84eb03  jjg9482 PD       0:00      1 (Dependency)
           1883953     short 4a84eb03  jjg9482 PD       0:00      1 (Dependency)
           1883857     short 7d41e602  jjg9482 PD       0:00      1 (Dependency)
           1883855     short 7d41e602  jjg9482 PD       0:00      1 (Dependency)
           1883853     short 7d41e602  jjg9482 PD       0:00      1 (Dependency)
           1883851     short 7d41e602  jjg9482 PD       0:00      1 (Dependency)
           1883850     short 7d41e602  jjg9482 PD       0:00      1 (Dependency)
           1883849     short 7d41e602  jjg9482 PD       0:00      1 (Dependency)
           1883760     short e005b860  jjg9482 PD       0:00      1 (Dependency)
           1883759     short e005b860  jjg9482 PD       0:00      1 (Dependency)
           1883757     short e005b860  jjg9482 PD       0:00      1 (Dependency)
           1883755     short e005b860  jjg9482 PD       0:00      1 (Dependency)
           1883754     short e005b860  jjg9482 PD       0:00      1 (Dependency)
           1883641     short 1759edc3  jjg9482 PD       0:00      1 (Dependency)
           1883640     short 1759edc3  jjg9482 PD       0:00      1 (Dependency)
           1883639     short 1759edc3  jjg9482 PD       0:00      1 (Dependency)
           1883638     short 1759edc3  jjg9482 PD       0:00      1 (Dependency)
           1883637     short 1759edc3  jjg9482 PD       0:00      1 (Dependency)
           1883636     short 1759edc3  jjg9482 PD       0:00      1 (Dependency)
           1883635     short 1759edc3  jjg9482 PD       0:00      1 (Dependency)
           1883544     short 247a8333  jjg9482 PD       0:00      1 (Dependency)
           1883543     short 247a8333  jjg9482 PD       0:00      1 (Dependency)
           1883541     short 247a8333  jjg9482 PD       0:00      1 (Dependency)
           1883540     short 247a8333  jjg9482 PD       0:00      1 (Dependency)
           1883539     short 247a8333  jjg9482 PD       0:00      1 (Dependency)
           1883538     short 247a8333  jjg9482 PD       0:00      1 (Dependency)
